request_id,request_date,barangay_name,service_category,channel,priority,status,resolution_hours_synth,citizen_satisfaction_1_5_synth,repeat_request_synth,remarks_synth
SR-0503,2026-08-16,Lodlod,Water,Web Form,High,Closed,3.0,5,No,
SR-0504,2026-03-29,San Salvador,Road/Drainage,Hotline,Normal,Closed,58.8,4,No,
SR-0505,2026-01-03,Pusil,Peace and Order,Barangay Referral,Low,Closed,17.7,4,No,
SR-0506,2026-04-23,Talisay,Streetlight,Web Form,Normal,Closed,3.9,5,No,Forwarded to concerned office
SR-0507,2026-06-30,Bagong Pook,Health,Hotline,Urgent,Closed,4.7,4,No,Requires site validation
SR-0508,2026-08-25,Lodlod,Streetlight,Walk-in,High,Closed,16.0,4,No,Requires site validation
SR-0509,2026-07-04,Munting Pulo,Disaster Concern,Web Form,Normal,Closed,13.0,4,Yes,Requires site validation
SR-0510,2026-06-13,Poblacion Barangay 5,Water,Walk-in,High,Closed,16.7,4,Yes,Forwarded to concerned office
SR-0511,2026-01-19,Sampaguita,Peace and Order,Mobile App,Normal,In Progress,32.5,,No,Forwarded to concerned office
SR-0512,2026-01-22,Antipolo Del Sur,Peace and Order,Web Form,High,Closed,11.7,5,No,Citizen follow-up received
SR-0513,2026-02-25,Marauoy,Water,Walk-in,Normal,Closed,10.4,4,Yes,Forwarded to concerned office
SR-0514,2026-05-20,Sico,Road/Drainage,Web Form,High,Closed,2.7,5,No,Forwarded to concerned office
SR-0515,2026-08-15,Sapac,Road/Drainage,Walk-in,Low,Closed,45.2,4,Yes,Forwarded to concerned office
SR-0516,2026-02-09,Bugtong na Pulo,Solid Waste,Mobile App,Urgent,Closed,17.3,4,No,
SR-0517,2026-05-03,Antipolo Del Sur,Permits/Inquiry,Web Form,Urgent,Pending Validation,11.3,,No,Requires site validation
SR-0518,2026-03-04,Poblacion Barangay 2,Permits/Inquiry,Mobile App,High,Closed,10.5,3,No,Citizen follow-up received
SR-0519,2026-04-27,Sapac,Disaster Concern,Mobile App,High,In Progress,7.8,,No,Requires site validation
SR-0520,2026-01-25,Duhatan,Solid Waste,Mobile App,Normal,Closed,4.0,5,No,Citizen follow-up received
SR-0521,2026-05-07,San Francisco,Solid Waste,Walk-in,Normal,Closed,15.1,3,No,Forwarded to concerned office
SR-0522,2026-05-19,Dagatan,Solid Waste,Barangay Referral,Low,Closed,30.5,4,Yes,Requires site validation
SR-0523,2026-07-27,Plaridel,Streetlight,Web Form,Normal,Closed,9.4,5,No,
SR-0524,2026-01-31,Marauoy,Peace and Order,Walk-in,Normal,Closed,20.4,4,No,Forwarded to concerned office
SR-0525,2026-01-14,Latag,Peace and Order,Barangay Referral,Normal,Closed,19.1,5,No,Requires site validation
SR-0526,2026-06-07,Munting Pulo,Disaster Concern,Hotline,Normal,Closed,32.5,5,No,Forwarded to concerned office
SR-0527,2026-02-03,Tangob,Streetlight,Web Form,High,Closed,7.1,5,Yes,Forwarded to concerned office
SR-0528,2026-07-17,Poblacion Barangay 4,Permits/Inquiry,Hotline,High,In Progress,8.6,,No,Citizen follow-up received
SR-0529,2026-07-21,Inosloban,Water,Hotline,Normal,Closed,42.6,5,No,Citizen follow-up received
SR-0530,2026-03-11,Duhatan,Streetlight,Mobile App,Normal,Closed,22.1,4,Yes,Forwarded to concerned office
SR-0531,2026-06-14,Marauoy,Water,Web Form,High,Closed,14.9,3,No,Requires site validation
SR-0532,2026-01-16,Inosloban,Health,Mobile App,Low,Closed,44.9,4,No,Requires site validation
SR-0533,2026-09-12,Tambo,Permits/Inquiry,Mobile App,Normal,Closed,12.8,5,No,Citizen follow-up received
SR-0534,2026-04-22,Santo Toribio,Water,Walk-in,Normal,In Progress,5.8,,No,Forwarded to concerned office
SR-0535,2026-07-12,Inosloban,Permits/Inquiry,Barangay Referral,Normal,Pending Validation,15.2,,No,Citizen follow-up received
SR-0536,2026-02-13,Pinagtongulan,Road/Drainage,Walk-in,Normal,Closed,13.9,4,No,Forwarded to concerned office
SR-0537,2026-02-18,Lodlod,Peace and Order,Mobile App,Normal,Closed,37.8,5,No,Citizen follow-up received
SR-0538,2026-09-11,Tibig,Solid Waste,Barangay Referral,Normal,Closed,8.3,3,Yes,Requires site validation
SR-0539,2026-03-31,Poblacion Barangay 6,Peace and Order,Barangay Referral,Normal,Closed,7.9,5,No,
SR-0540,2026-03-13,Kayumanggi,Water,Hotline,Low,Closed,37.5,5,No,
SR-0541,2026-04-15,Cumba,Permits/Inquiry,Mobile App,Normal,Closed,49.1,5,No,Citizen follow-up received
SR-0542,2026-04-10,Mataas Na Lupa,Permits/Inquiry,Web Form,High,Closed,8.0,4,No,
SR-0543,2026-01-14,Tanguay,Water,Web Form,Normal,Closed,44.0,4,No,Forwarded to concerned office
SR-0544,2026-09-02,Sabang,Permits/Inquiry,Web Form,Normal,Closed,20.4,4,No,Forwarded to concerned office
SR-0545,2026-07-31,Bolbok,Permits/Inquiry,Walk-in,High,Closed,3.5,4,No,Requires site validation
SR-0546,2026-02-11,Bolbok,Water,Barangay Referral,High,Closed,14.2,4,No,Forwarded to concerned office
SR-0547,2026-03-04,Dagatan,Water,Web Form,Normal,Closed,4.6,4,No,Citizen follow-up received
SR-0548,2026-02-27,Sabang,Disaster Concern,Walk-in,High,In Progress,11.0,,No,Forwarded to concerned office
SR-0549,2026-05-31,Inosloban,Disaster Concern,Hotline,Normal,Closed,19.5,3,No,Citizen follow-up received
SR-0550,2026-06-26,Mataas Na Lupa,Peace and Order,Walk-in,Normal,In Progress,5.9,,No,
SR-0551,2026-03-16,Pangao,Disaster Concern,Walk-in,Low,Pending Validation,19.7,,No,Requires site validation
SR-0552,2026-01-27,Sico,Health,Web Form,Normal,Closed,35.4,4,No,Forwarded to concerned office
SR-0553,2026-06-21,Plaridel,Health,Hotline,Urgent,Closed,5.3,5,Yes,Citizen follow-up received
SR-0554,2026-05-09,Kayumanggi,Road/Drainage,Web Form,High,Closed,5.9,4,Yes,Forwarded to concerned office
SR-0555,2026-02-12,Anilao-Labac,Disaster Concern,Mobile App,High,Closed,7.5,4,Yes,Requires site validation
SR-0556,2026-08-17,Inosloban,Permits/Inquiry,Walk-in,Normal,Closed,12.7,4,No,Forwarded to concerned office
SR-0557,2026-06-21,Inosloban,Disaster Concern,Web Form,Normal,In Progress,27.3,,No,Citizen follow-up received
SR-0558,2026-04-11,Tambo,Streetlight,Web Form,High,In Progress,2.1,,No,Forwarded to concerned office
SR-0559,2026-09-18,Inosloban,Peace and Order,Mobile App,Normal,Closed,8.4,3,No,Forwarded to concerned office
SR-0560,2026-08-11,Inosloban,Health,Web Form,Low,Closed,55.8,5,No,Citizen follow-up received
SR-0561,2026-03-24,Sabang,Peace and Order,Walk-in,Normal,Closed,20.1,5,No,
SR-0562,2026-05-06,Poblacion Barangay 10,Road/Drainage,Mobile App,Normal,In Progress,22.7,,Yes,Requires site validation
SR-0563,2026-09-16,Pagolingin East,Road/Drainage,Walk-in,Normal,Closed,42.3,4,Yes,Requires site validation
SR-0564,2026-05-12,Bolbok,Permits/Inquiry,Hotline,High,Closed,14.0,4,Yes,Requires site validation
SR-0565,2026-03-16,Sabang,Permits/Inquiry,Web Form,High,In Progress,16.5,,No,
SR-0566,2026-08-02,Duhatan,Permits/Inquiry,Walk-in,Normal,Closed,50.3,4,Yes,
SR-0567,2026-08-10,Rizal,Disaster Concern,Mobile App,High,Closed,2.1,5,No,Forwarded to concerned office
SR-0568,2026-03-22,Bagong Pook,Health,Walk-in,Normal,Closed,46.3,4,No,
SR-0569,2026-09-11,Santo Niño,Health,Walk-in,Normal,Closed,25.9,5,No,Citizen follow-up received
SR-0570,2026-02-05,Marauoy,Permits/Inquiry,Walk-in,High,Pending Validation,9.0,,Yes,Forwarded to concerned office
SR-0571,2026-09-18,Anilao-Labac,Peace and Order,Barangay Referral,High,Closed,15.8,4,No,Citizen follow-up received
SR-0572,2026-04-04,Malagonlong,Disaster Concern,Barangay Referral,Normal,Closed,59.0,5,No,
SR-0573,2026-08-26,Marauoy,Water,Barangay Referral,Normal,Closed,10.3,5,No,
SR-0574,2026-05-21,Tibig,Peace and Order,Web Form,High,In Progress,9.9,,No,
SR-0575,2026-02-06,San Carlos,Disaster Concern,Web Form,Normal,Closed,23.8,4,No,Forwarded to concerned office
SR-0576,2026-07-21,Anilao-Labac,Disaster Concern,Walk-in,Normal,In Progress,20.5,,No,Requires site validation
SR-0577,2026-01-08,Antipolo Del Sur,Permits/Inquiry,Walk-in,Urgent,Closed,8.6,5,No,Requires site validation
SR-0578,2026-02-15,Marauoy,Disaster Concern,Mobile App,Normal,Closed,33.8,3,No,Citizen follow-up received
SR-0579,2026-04-19,Munting Pulo,Road/Drainage,Hotline,Low,Closed,26.1,5,No,
SR-0580,2026-07-15,Balintawak,Health,Walk-in,Normal,Closed,44.1,3,No,Requires site validation
SR-0581,2026-07-16,Tangob,Permits/Inquiry,Walk-in,High,Closed,4.6,5,Yes,Requires site validation
SR-0582,2026-08-09,Bolbok,Peace and Order,Walk-in,Low,Closed,13.9,5,Yes,Requires site validation
SR-0583,2026-07-24,Balintawak,Health,Web Form,High,Closed,16.5,5,No,
SR-0584,2026-02-18,San Francisco,Peace and Order,Hotline,Normal,Pending Validation,29.1,,No,
SR-0585,2026-02-18,Pinagkawitan,Permits/Inquiry,Web Form,Low,Closed,13.4,4,Yes,
SR-0586,2026-05-20,San Lucas,Permits/Inquiry,Web Form,Normal,Closed,12.3,5,Yes,Forwarded to concerned office
SR-0587,2026-06-03,Antipolo Del Sur,Solid Waste,Barangay Referral,Low,Closed,19.6,3,No,Forwarded to concerned office
SR-0588,2026-08-14,Sampaguita,Solid Waste,Walk-in,High,Closed,9.5,5,Yes,Citizen follow-up received
SR-0589,2026-06-23,Talisay,Health,Hotline,Normal,Closed,18.9,5,No,Forwarded to concerned office
SR-0590,2026-01-23,Cumba,Permits/Inquiry,Walk-in,Low,Closed,24.7,5,No,Forwarded to concerned office
SR-0591,2026-08-20,Pangao,Water,Mobile App,High,Closed,2.4,4,No,Requires site validation
SR-0592,2026-05-25,Inosloban,Streetlight,Web Form,High,Closed,7.0,4,No,Citizen follow-up received
SR-0593,2026-07-25,Latag,Permits/Inquiry,Barangay Referral,Low,Closed,20.3,5,No,Requires site validation
SR-0594,2026-05-21,Sabang,Streetlight,Web Form,Normal,Closed,27.4,3,No,Requires site validation
SR-0595,2026-07-25,Poblacion Barangay 6,Water,Walk-in,High,Closed,3.2,3,No,Citizen follow-up received
SR-0596,2026-06-03,San Celestino,Water,Web Form,Normal,Closed,12.1,4,Yes,Forwarded to concerned office
SR-0597,2026-01-13,San Benito,Health,Hotline,Urgent,Closed,12.5,4,No,Requires site validation
SR-0598,2026-09-18,San Francisco,Disaster Concern,Mobile App,High,In Progress,13.2,,No,
SR-0599,2026-08-31,Lodlod,Peace and Order,Hotline,Normal,Closed,45.9,3,No,Forwarded to concerned office
SR-0600,2026-06-15,Pusil,Health,Web Form,High,Closed,8.4,4,No,Citizen follow-up received
